TERM1	INTERACTION	TERM2	KAPPA_SIMILARITY
GO:0030335	kappa	GO:0003823	-0.015
GO:0030335	kappa	GO:0019724	0.027
GO:0030335	kappa	GO:0004714	0.043
GO:0030335	kappa	GO:0050866	0.039
GO:0030335	kappa	GO:0050867	0.12
GO:0030335	kappa	GO:0070372	0.2
GO:0030335	kappa	GO:0014066	0.13
GO:0030335	kappa	GO:2000145	0.68
GO:0030335	kappa	GO:0043062	0.13
GO:0030335	kappa	GO:0007631	-0.0073
GO:0030335	kappa	GO:0050778	0.069
GO:0030335	kappa	GO:0004950	0.047
GO:0030335	kappa	GO:0038023	0.073
GO:0030335	kappa	GO:0050663	0.089
GO:0030335	kappa	GO:0002253	0.055
GO:0030335	kappa	GO:0051270	0.63
GO:0030335	kappa	GO:0007416	0.0088
GO:0030335	kappa	GO:0072376	0.0049
GO:0030335	kappa	GO:0032101	0.23
GO:0030335	kappa	GO:0030334	0.73
GO:0030335	kappa	GO:1901681	0.033
GO:0030335	kappa	GO:0050808	0.01
GO:0030335	kappa	GO:0045202	0.029
GO:0030335	kappa	GO:0030155	0.31
GO:0030335	kappa	GO:0007186	0.066
GO:0030335	kappa	GO:0005201	-0.0054
GO:0030335	kappa	GO:0061138	0.14
GO:0030335	kappa	GO:0006955	0.072
GO:0030335	kappa	GO:0007528	0.0076
GO:0030335	kappa	GO:0002675	0.031
GO:0030335	kappa	GO:0043616	-0.0039
GO:0030335	kappa	GO:0072503	0.13
GO:0030335	kappa	GO:0051674	0.38
GO:0030335	kappa	GO:0048747	0.08
GO:0030335	kappa	GO:0019838	0.073
GO:0030335	kappa	GO:0040017	0.98
GO:0030335	kappa	GO:0071346	0.036
GO:0030335	kappa	GO:0045216	0.14
GO:0030335	kappa	GO:0051046	0.062
GO:0030335	kappa	GO:0005178	0.14
GO:0030335	kappa	GO:0005887	0.046
GO:0030335	kappa	GO:0005913	-0.01
GO:0030335	kappa	GO:0051249	0.069
GO:0030335	kappa	GO:0004871	0.08
GO:0030335	kappa	GO:0060333	0.0043
GO:0030335	kappa	GO:0070160	0.023
GO:0030335	kappa	GO:0016337	0.12
GO:0030335	kappa	GO:0048729	0.099
GO:0030335	kappa	GO:0014068	0.14
GO:0030335	kappa	GO:0002250	0.063
GO:0030335	kappa	GO:0001637	0.047
GO:0030335	kappa	GO:0002768	0.088
GO:0030335	kappa	GO:0030198	0.13
GO:0030335	kappa	GO:0050851	0.081
GO:0030335	kappa	GO:0031032	0.036
GO:0030335	kappa	GO:0031226	0.053
GO:0030335	kappa	GO:0007600	0.011
GO:0030335	kappa	GO:0055074	0.13
GO:0030335	kappa	GO:0001944	0.18
GO:0030335	kappa	GO:0090257	0.041
GO:0030335	kappa	GO:0002764	0.067
GO:0030335	kappa	GO:0001653	0.054
GO:0030335	kappa	GO:0005576	0.049
GO:0030335	kappa	GO:0002455	0.02
GO:0030335	kappa	GO:0051050	0.17
GO:0030335	kappa	GO:0018108	0.22
GO:0030335	kappa	GO:0001655	0.071
GO:0030335	kappa	GO:0050865	0.091
GO:0030335	kappa	GO:0032940	0.06
GO:0030335	kappa	GO:0060090	-0.0046
GO:0030335	kappa	GO:0040011	0.29
GO:0030335	kappa	GO:0072507	0.12
GO:0030335	kappa	GO:0016323	0.014
GO:0030335	kappa	GO:0005615	0.13
GO:0030335	kappa	GO:0016477	0.41
GO:0030335	kappa	GO:0034329	0.16
GO:0030335	kappa	GO:0071944	0.025
GO:0030335	kappa	GO:0070371	0.23
GO:0030335	kappa	GO:0051480	0.14
GO:0030335	kappa	GO:0004713	0.095
GO:0030335	kappa	GO:0072001	0.071
GO:0030335	kappa	GO:0006959	0.045
GO:0030335	kappa	GO:0004364	-0.0059
GO:0030335	kappa	GO:0005912	0.067
GO:0030335	kappa	GO:0008015	0.1
GO:0030335	kappa	GO:0002757	0.054
GO:0030335	kappa	GO:0051146	0.1
GO:0030335	kappa	GO:0035272	0.06
GO:0030335	kappa	GO:0050803	0.0088
GO:0030335	kappa	GO:0003008	0.042
GO:0030335	kappa	GO:0030674	-0.014
GO:0030335	kappa	GO:0004930	0.041
GO:0030335	kappa	GO:0006937	0.022
GO:0030335	kappa	GO:0005923	0.023
GO:0030335	kappa	GO:0043296	0.031
GO:0030335	kappa	GO:0008528	0.054
GO:0030335	kappa	GO:0019199	0.055
GO:0030335	kappa	GO:0060089	0.08
GO:0030335	kappa	GO:0044459	0.064
GO:0030335	kappa	GO:0030595	0.32
GO:0030335	kappa	GO:0034330	0.15
GO:0030335	kappa	GO:0031589	0.22
GO:0030335	kappa	GO:0005578	0.031
GO:0030335	kappa	GO:0002684	0.14
GO:0030335	kappa	GO:0022603	0.18
